,rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code,formatted_time
345,commit_messages,,nilearn,nilearn,KamalakerDadi,2016-10-24 17:39:36,Fix: add_contours (filled=True) which will not require to specify color or alpha,0e0f35581608082d9752fa5dba776bbe880a8ae2,,"api.github.com,git_clone","[u'[""nilearn/plotting/tests/test_displays.py"", ""nilearn/datasets/func.py"", ""nilearn/plotting/displays.py""]']",False,[],[],[],[],2016-10-24
1495,commit_messages,,nilearn,nilearn,Joaoloula,2016-10-25 12:28:05,"created fsaverage5 fetcher, separated surface plot examples, updated doc",3f149d91da4a5cc076514ce55c2879305171b551,,"api.github.com,git_clone","[u'[""doc/modules/reference.rst"", ""examples/01_plotting/plot_surf_stat_map.py"", ""examples/01_plotting/plot_surf_atlas.py"", ""nilearn/datasets/atlas.py"", ""nilearn/plotting/__init__.py"", ""nilearn/datasets/__init__.py"", ""nilearn/datasets/description/nki_enhanced_surface.rst"", ""nilearn/datasets/description/destrieux_surface.rst"", ""nilearn/datasets/description/fsaverage5.rst"", ""nilearn/datasets/func.py""]']",False,[],[],[],[],2016-10-25
2183,commit_messages,,nilearn,nilearn,KamalakerDadi,2016-10-26 13:38:45,Addressed comments:Fixed testing sig is finite after ensure_finite=True,5af0dccd7cd5bd5bf4db1272391b383031a8e005,,"api.github.com,git_clone","[u'[""nilearn/input_data/tests/test_nifti_maps_masker.py"", ""nilearn/input_data/tests/test_nifti_labels_masker.py"", ""nilearn/regions/signal_extraction.py""]']",False,[],[],[],[],2016-10-26
2784,commit_messages,,nilearn,nilearn,KamalakerDadi,2016-10-25 19:12:03,Addressed comments:documentation nitpick and tests to check one value given in levels,7365b4359e3a318c79a58b3bb6c31d44c7131e2a,,"api.github.com,git_clone","[u'[""nilearn/plotting/tests/test_displays.py"", ""nilearn/plotting/displays.py""]']",False,[],[],[],[],2016-10-25
2980,commit_messages,,nilearn,nilearn,Joaoloula,2016-10-25 12:54:52,Merge branch 'master' of git://github.com/nilearn/nilearn into jaccard_index,7c11db74ce1908bd390c3571becce10fbc85cd34,,"api.github.com,git_clone","[u'[""doc/modules/reference.rst"", ""nilearn/tests/test_niimg.py"", ""nilearn/_utils/testing.py"", ""nilearn/plotting/img_plotting.py"", ""nilearn/_utils/niimg.py"", ""doc/decoding/decoding_tutorial.rst"", ""doc/conf.py"", ""nilearn/connectome/__init__.py"", ""nilearn/_utils/niimg_conversions.py"", ""doc/themes/nilearn/static/nature.css_t"", ""nilearn/connectome/tests/test_connectivity_matrices.py"", ""nilearn/input_data/tests/test_nifti_maps_masker.py"", ""doc/themes/nilearn/static/copybutton.js"", ""nilearn/tests/test_niimg_conversions.py"", ""nilearn/connectome/connectivity_matrices.py"", ""nilearn/datasets/func.py"", ""nilearn/input_data/nifti_maps_masker.py"", ""nilearn/datasets/atlas.py""]']",False,[],[],[],[],2016-10-25
3767,commit_messages,,nilearn,nilearn,Joaoloula,2016-10-25 13:04:58,updated haxby fetcher documentation and abide fetcher link,9e6f6e24e54fe0df2b5c8bf97e59626dac8bd3ea,,"api.github.com,git_clone","[u'[""nilearn/datasets/func.py"", ""nilearn/connectome/jaccard_index.py""]']",False,[],[],[],[],2016-10-25
4481,commit_messages,,nilearn,nilearn,Joaoloula,2016-10-26 11:59:14,addressed julia's comments on the PR,b9d7cd6dea811aae3af936c2336ddad0f5d9e8ab,,"api.github.com,git_clone","[u'[""nilearn/datasets/description/destrieux_surface.rst"", ""nilearn/datasets/description/fsaverage5.rst"", ""examples/01_plotting/plot_surf_stat_map.py"", ""examples/01_plotting/plot_surf_atlas.py"", ""nilearn/datasets/func.py""]']",False,[],[],[],[],2016-10-26
4594,commit_messages,,nilearn,nilearn,Joaoloula,2016-10-25 12:35:17,added fsaverage5 description,bf130696980c6cca6203c1f9cde17ed8d84b934f,,"api.github.com,git_clone","[u'[""nilearn/datasets/atlas.py"", ""nilearn/datasets/func.py""]']",False,[],[],[],[],2016-10-25
4760,commit_messages,,nilearn,nilearn,AlexandreAbraham,2016-10-26 12:22:51,"Merge pull request #1291 from arthurmensch/master

Fixed deprecation warning with sklearn 0.18",c5d7e411256f40619f770ae553880212da48230e,,"api.github.com,git_clone","[u'[""nilearn/_utils/fixes/__init__.py""]']",False,[],"[{u'raw': u'#1291', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1291', u'']}]",[],[],2016-10-26
5031,commit_messages,,nilearn,nilearn,AlexandreAbraham,2016-10-25 13:18:01,"Merge pull request #1311 from GaelVaroquaux/fix_nitfi_header

BUG: fix min value in nifti header",d0c8c7bd51f6fcb3abec7cab8625460d82f5a09a,,"api.github.com,git_clone","[u'[""nilearn/image/image.py""]']",False,[],"[{u'raw': u'#1311', u'refstyle': u'#d', u'parts': [u'nilearn', u'nilearn', u'1311', u'']}]",[],[],2016-10-25
5339,commit_messages,,nilearn,nilearn,Joaoloula,2016-10-25 13:14:39,updated haxby fetcher documentation and abide fetcher link,dce978d4ccf3be67807a849729a66959ea0b8974,,"api.github.com,git_clone","[u'[""nilearn/connectome/jaccard_index.py""]']",False,[],[],[],[],2016-10-25
10361,pull_request_commit,1016.0,nilearn,nilearn,Joaoloula,2016-10-25 12:28:05,"created fsaverage5 fetcher, separated surface plot examples, updated doc",087969b871b4d5f8f7f03269998a3068c1079fde,,api.github.com,,False,[],[],[],[],2016-10-25
10362,pull_request_commit,1016.0,nilearn,nilearn,Joaoloula,2016-10-25 12:35:17,added fsaverage5 description,9791baa0005c10df77bcbda5d2626a78ed01ed0c,,api.github.com,,False,[],[],[],[],2016-10-25
10363,pull_request_commit,1016.0,nilearn,nilearn,Joaoloula,2016-10-26 11:59:14,addressed julia's comments on the PR,af75cd01b9f72cb7234f7b27a862a770ea1db287,,api.github.com,,False,[],[],[],[],2016-10-26
10901,pull_request_commit,1271.0,nilearn,nilearn,KamalakerDadi,2016-10-26 13:38:45,Addressed comments:Fixed testing sig is finite after ensure_finite=True,5af0dccd7cd5bd5bf4db1272391b383031a8e005,,api.github.com,,False,[],[],[],[],2016-10-26
