,aabadie,ahoyosid,ainafp,alexandre.abadie@therapixel.com,alexandreabraham,arokem,arthurmensch,banilo,bcipolli@ucsd.edu,bthirion,dohmatob,gaelvaroquaux,kamalakerdadi,lesteve,mrahim,sb238920@is223297.intra.cea.fr,titan-c
aabadie,0.0,0.0,0.0,2.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,20.0,1.0,16.0,0.0,0.0,0.0
ahoyosid,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ainafp,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
alexandre.abadie@therapixel.com,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
alexandreabraham,12.0,0.0,1.0,0.0,2.0,1.0,4.0,15.0,4.0,16.0,6.0,44.0,14.0,28.0,4.0,1.0,0.0
arokem,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arthurmensch,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,1.0,7.0,1.0,0.0,0.0
banilo,1.0,0.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,14.0,7.0,15.0,9.0,11.0,2.0,1.0,0.0
bcipolli@ucsd.edu,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
bthirion,2.0,0.0,1.0,0.0,16.0,1.0,2.0,14.0,0.0,0.0,5.0,20.0,8.0,19.0,3.0,1.0,0.0
dohmatob,0.0,0.0,2.0,0.0,6.0,0.0,1.0,7.0,0.0,5.0,3.0,16.0,5.0,13.0,2.0,0.0,0.0
gaelvaroquaux,20.0,0.0,2.0,0.0,44.0,0.0,6.0,15.0,1.0,20.0,16.0,1.0,17.0,46.0,6.0,1.0,2.0
kamalakerdadi,1.0,0.0,2.0,0.0,14.0,0.0,1.0,9.0,1.0,8.0,5.0,17.0,0.0,8.0,0.0,1.0,1.0
lesteve,16.0,0.0,1.0,2.0,28.0,0.0,7.0,11.0,2.0,19.0,13.0,46.0,8.0,1.0,8.0,1.0,2.0
mrahim,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,3.0,2.0,6.0,0.0,8.0,0.0,0.0,0.0
sb238920@is223297.intra.cea.fr,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
titan-c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0
