"rectype","issueid","project_owner","project_name","actor","time","text","action","title"
"issue_title","322","idan","oauthlib","josephtate","2015-02-27 06:49:18","Newer versions of pyjwt subsume a bunch of the PEM decoding stuff.

This fixes tests with all latest deps.

I also reformatted the PEM key strings so that they could be copied/pasted easier. PEP-8 doesn't forbid multi-line strings.

Note that the Private Keys were retrieved by running RSA.importKey(private_pem).publickey.exportKey().
","start issue","This patch fixes PyJWT support when pyjwt >= 0.4.0"
"issue_closed","322","idan","oauthlib","ib-lundgren","2015-04-19 14:29:32","","closed issue","This patch fixes PyJWT support when pyjwt >= 0.4.0"
"pull_request_title","322","idan","oauthlib","josephtate","2015-02-27 06:49:18","Newer versions of pyjwt subsume a bunch of the PEM decoding stuff.

This fixes tests with all latest deps.

I also reformatted the PEM key strings so that they could be copied/pasted easier. PEP-8 doesn't forbid multi-line strings.

Note that the Private Keys were retrieved by running RSA.importKey(private_pem).publickey.exportKey().
","fc2d1218e015adcf65ba01965884430c47895cd0","This patch fixes PyJWT support when pyjwt >= 0.4.0"
"pull_request_merged","322","idan","oauthlib","ib-lundgren","2015-04-19 14:29:32","This patch fixes PyJWT support when pyjwt >= 0.4.0","52e2447beb42cdba37d1f71c51397b1eabd66711","Pull request merge from josephtate/oauthlib:fix-pyjwt-gte-0.4.0 to idan/oauthlib:master"
"issue_comment","322","idan","oauthlib","josephtate","2015-02-27 07:13:37","The CI build failed because tox.ini isn't being respected. PyJWT now requires ""cryptography"" vs. PyCrypto.
","",""
"issue_comment","322","idan","oauthlib","lepture","2015-03-04 05:41:06","ping @ib-lundgren 
","",""
"issue_comment","322","idan","oauthlib","tilgovi","2015-03-17 20:41:35","LGTM
","",""
"issue_comment","322","idan","oauthlib","wiliamsouza","2015-03-18 12:45:43",":+1:  LGTM
","",""
"issue_comment","322","idan","oauthlib","jpadilla","2015-03-19 14:31:25","Yesterday we released PyJWT [v1.0.0](https://github.com/jpadilla/pyjwt/releases/tag/1.0.0) which fixes some reported security vulnerabilities. Although this project doesn't seem to be affected, it would still be good idea to require >= 1.0.0 instead.
","",""
"issue_comment","322","idan","oauthlib","josephtate","2015-03-23 00:45:19","@jpadilla Thanks for the heads up
","",""
"issue_comment","322","idan","oauthlib","ib-lundgren","2015-04-02 11:35:02","Sorry for not having looked at this earlier. I just merged #310 which changed the travis/tox setup a bit, can you please sync and set requirements for pyjwt as needed? 

I see cryptography being installed but never imported / explicitly used. I'm guessing pyjwt does not install this implicitly and we have do it?
","",""
"issue_comment","322","idan","oauthlib","tilgovi","2015-04-02 16:17:07","Only if we need to test the asymmetric ciphers.

On Thu, Apr 2, 2015, 04:35 Ib Lundgren notifications@github.com wrote:

> Sorry for not having looked at this earlier. I just merged #310
> https://github.com/idan/oauthlib/pull/310 which changed the travis/tox
> setup a bit, can you please sync and set requirements for pyjwt as needed?
> 
> I see cryptography being installed but never imported / explicitly used.
> I'm guessing pyjwt does not install this implicitly and we have do it?
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/idan/oauthlib/pull/322#issuecomment-88871381.
","",""
"issue_comment","322","idan","oauthlib","jpadilla","2015-04-02 16:20:44","PyJWT now allows you to either use pycrypto or cryptography(recommended) for asymmetric ciphers, which this project does use (RS256) to be exact. None of them are installed by default.
","",""
"issue_comment","322","idan","oauthlib","josephtate","2015-04-02 16:24:06","I'm working on re-merging. I'm also realizing that pycrypto could possibly be removed, and that there are docs that need to be fixed up.
","",""
"issue_comment","322","idan","oauthlib","ib-lundgren","2015-04-02 16:32:44","OAuth1 uses pycrypto as well. I begun a CL to change to cryptography / use either but cryptography was not quite ready at the time. Since then I've not been able to finish it up. Feel free to resume it #226 :)
","",""
"issue_comment","322","idan","oauthlib","josephtate","2015-04-03 19:05:26","@jpadilla @ib-lundgren Can I get a review of this? I don't know that I like the way that I'm handling oauth1 signatures sans pycrypto, but cryptography doesn't seem to have its low level signing routines polished very well.

I'll work on updating docs.
","",""
"issue_comment","322","idan","oauthlib","josephtate","2015-04-06 16:57:30","I think I'm all done with this @ib-lundgren.
","",""
"issue_comment","322","idan","oauthlib","lepture","2015-04-14 11:12:09","@josephtate maybe you should rebase your commits, make it clear.
","",""
"issue_comment","322","idan","oauthlib","josephtate","2015-04-14 16:42:43","Welp, That was fun. I rebased, but that broke, so I re-patched master and force pushed the branch.

Summary:
This current version happens to replace #226, and accidentally includes #336 (which is minor).
","",""
"issue_comment","322","idan","oauthlib","ib-lundgren","2015-04-19 14:29:29","Amazing :) Well done and thanks for the help reviewing this all!
","",""
"pull_request_commit_comment","322","idan","oauthlib","jpadilla","2015-04-04 13:12:30","I'd suggest specifying the allowed algorithms for decoding, in this case it'd be something like:

``` python
return jwt.decode(token, public_pem, algorithms=['RS256'])
```
","fc2d1218e015adcf65ba01965884430c47895cd0","(None, '', u'oauthlib/common.py')"
"pull_request_commit","322","idan","oauthlib","josephtate","2015-04-14 16:30:44","Support newer PyJWT (1.0.0). remove PyCrypto completely for cryptography and PyJWT helpers. Reformat some test certificates to be easier to maintain. Update documentation to match use of cryptography instead of PyCrypto","fc2d1218e015adcf65ba01965884430c47895cd0",""
